2026-01-07 12:16:11 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:16:11 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:16:14 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:16:14 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:16:14 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:16:14 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:16:14 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:16:14 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:16:15 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:16:15 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:16:15 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:21:15 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:21:15 | INFO     | ITAM-Agent | CICLO #14 - 2026-01-07 12:21:15
2026-01-07 12:21:15 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:21:15 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:21:15 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:21:19 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:21:19 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:21:19 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:21:19 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:21:19 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:21:19 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:21:20 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:21:20 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:21:20 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:26:20 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:26:20 | INFO     | ITAM-Agent | CICLO #15 - 2026-01-07 12:26:20
2026-01-07 12:26:20 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:26:20 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:26:20 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:26:23 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:26:23 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:26:23 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:26:23 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:26:23 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:26:23 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:26:24 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:26:24 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:26:24 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:31:24 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:31:24 | INFO     | ITAM-Agent | CICLO #16 - 2026-01-07 12:31:24
2026-01-07 12:31:24 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:31:24 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:31:24 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:31:27 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:31:27 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:31:27 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
